blank_path,annotated_path,cropped_path,species,confidence,bbox,time,model,camera,detection_conf,cropped
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-09-06 17-36-34 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2023_09_06_17_36_34_Rabbit_0.JPG,Rabbit,0.9700915813446045,"[[1553.9403076171875, 861.2169799804688, 1919.122314453125, 1217.0291748046875]]",2023_09_06_17_36_34,day,NA,0.9594315886497498,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-02-20 05-59-52 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2022_02_20_05_59_52_Rabbit_0.JPG,Rabbit,0.41323232650756836,"[[1910.4703369140625, 812.9351806640625, 2021.4312744140625, 1028.80859375]]",2022_02_20_05_59_52,day,NA,0.9365491271018982,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-11-10 06-38-55 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2022_11_10_06_38_55_Rabbit_0.JPG,Rabbit,0.9248552322387695,"[[429.00323486328125, 775.1908569335938, 843.3864135742188, 1256.3787841796875]]",2022_11_10_06_38_55,day,NA,0.9729278087615967,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-06-01 17-00-46 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2022_06_01_17_00_46_Rabbit_0.JPG,Rabbit,0.9812993407249451,"[[1448.322265625, 781.7103881835938, 1591.2806396484375, 938.4548950195312]]",2022_06_01_17_00_46,day,NA,0.8466522693634033,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-09-26 16-58-08 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2021_09_26_16_58_08_Rabbit_0.JPG,Rabbit,0.9461373686790466,"[[550.2706298828125, 704.0309448242188, 705.3698120117188, 815.6033325195312]]",2021_09_26_16_58_08,day,NA,0.9031623601913452,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-12-24 04-47-05 M 3_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/discard/2023_12_24_04_47_05_NA_none.JPG,none,none,none,none,2023_12_24_04_47_05,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-09-05 17-09-20 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2021_09_05_17_09_20_Rabbit_0.JPG,Rabbit,0.8559556007385254,"[[1423.646728515625, 839.5109252929688, 1791.9349365234375, 1302.6578369140625]]",2021_09_05_17_09_20,day,NA,0.9709144830703735,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-03-20 05-53-17 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2022_03_20_05_53_17_Rabbit_0.JPG,Rabbit,0.9837084412574768,"[[1543.6156005859375, 912.2213745117188, 1747.4813232421875, 1196.7432861328125]]",2022_03_20_05_53_17,day,NA,0.9468544721603394,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-11-26 06-02-47 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Kangaroo/NA_2022_11_26_06_02_47_Kangaroo_0.JPG,Kangaroo,0.43274232745170593,"[[0.07070312649011612, 1115.3922119140625, 499.3144226074219, 1403.4481201171875]]",2022_11_26_06_02_47,day,NA,0.8359488844871521,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2024-11-03 05-28-43 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2024_11_03_05_28_43_Rabbit_0.JPG,Rabbit,0.9864370226860046,"[[0.6447998285293579, 975.9968872070312, 391.0408630371094, 1400.6171875]]",2024_11_03_05_28_43,day,NA,0.9477049112319946,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-11-16 16-41-50 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_11_16_16_41_50_Rabbit_0.JPG,Rabbit,0.9867846369743347,"[[1274.4285888671875, 894.18408203125, 1510.314453125, 1406.579833984375]]",2021_11_16_16_41_50,day,NA,0.9619625806808472,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-08-15 17-56-36 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_08_15_17_56_36_Rabbit_0.JPG,Rabbit,0.9780871868133545,"[[1605.50439453125, 1007.4898681640625, 1994.606689453125, 1404.8199462890625]]",2021_08_15_17_56_36,day,NA,0.9514937996864319,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-12-02 07-18-25 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2022_12_02_07_18_25_Rabbit_0.JPG,Rabbit,0.604142427444458,"[[1.4848755598068237, 928.8832397460938, 108.00257873535156, 1248.8079833984375]]",2022_12_02_07_18_25,day,NA,0.8983136415481567,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-11-24 05-42-31 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2022_11_24_05_42_31_Rabbit_0.JPG,Rabbit,0.9669356942176819,"[[247.4882354736328, 729.2976684570312, 442.110107421875, 1188.1400146484375]]",2022_11_24_05_42_31,day,NA,0.8886721134185791,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-11-14 06-31-33 M 3_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2022_11_14_06_31_33_NA_animal.JPG,none,animal,none,"[0.0, 0.5791, 0.0815, 0.2874]",2022_11_14_06_31_33,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-07-22 17-47-17 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2022_07_22_17_47_17_Rabbit_0.JPG,Rabbit,0.953016996383667,"[[1.8708008527755737, 977.9496459960938, 693.9493408203125, 1403.2493896484375]]",2022_07_22_17_47_17,day,NA,0.8155934810638428,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-08-01 17-20-56 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_08_01_17_20_56_Rabbit_0.JPG,Rabbit,0.9642020463943481,"[[1672.607666015625, 778.1098022460938, 1830.2342529296875, 909.3170166015625]]",2021_08_01_17_20_56,day,NA,0.9146029949188232,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-07-09 16-56-13 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2021_07_09_16_56_13_Rabbit_0.JPG,Rabbit,0.8969888091087341,"[[1874.7913818359375, 786.2052001953125, 2048.0, 1147.4073486328125]]",2021_07_09_16_56_13,day,NA,0.9338670372962952,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-10-18 07-06-03 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2023_10_18_07_06_03_Rabbit_0.JPG,Rabbit,0.9059826731681824,"[[555.5510864257812, 786.0119018554688, 649.6487426757812, 1081.9393310546875]]",2023_10_18_07_06_03,day,NA,0.8772996068000793,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-11-30 06-55-53 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2023_11_30_06_55_53_Rabbit_0.JPG,Rabbit,0.9822432994842529,"[[567.8121948242188, 1004.3536987304688, 1076.190673828125, 1406.2923583984375]]",2023_11_30_06_55_53,day,NA,0.9270221590995789,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-08-25 06-13-34 M 3_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2022_08_25_06_13_34_NA_animal.JPG,none,animal,none,"[0.0, 0.5881, 0.1645, 0.3888]",2022_08_25_06_13_34,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2024-04-14 17-56-42 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2024_04_14_17_56_42_Rabbit_0.JPG,Rabbit,0.9947502017021179,"[[1705.6031494140625, 707.708740234375, 1872.6953125, 897.5158081054688]]",2024_04_14_17_56_42,day,NA,0.9252709150314331,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-09-04 09-18-10 M 1_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2021_09_04_09_18_10_NA_animal.JPG,none,animal,none,"[0.955, 0.5534, 0.0449, 0.218]",2021_09_04_09_18_10,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2024-08-17 08-04-02 M 1_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2024_08_17_08_04_02_NA_animal.JPG,none,animal,none,"[0.1235, 0.7701, 0.3129, 0.2062]",2024_08_17_08_04_02,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-11-01 05-34-14 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_11_01_05_34_14_Rabbit_0.JPG,Rabbit,0.9962377548217773,"[[1724.6297607421875, 876.4887084960938, 1969.120361328125, 1393.2952880859375]]",2021_11_01_05_34_14,day,NA,0.9663490056991577,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-08-06 08-26-24 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Kangaroo/NA_2021_08_06_08_26_24_Kangaroo_0.JPG,Kangaroo,0.9980600476264954,"[[1997.3934326171875, 817.3064575195312, 2047.8133544921875, 993.4111328125]]",2021_08_06_08_26_24,day,NA,0.836834728717804,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2024-06-24 07-20-11 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2024_06_24_07_20_11_Rabbit_0.JPG,Rabbit,0.9741442203521729,"[[328.144287109375, 810.1353759765625, 673.716552734375, 1206.635009765625]]",2024_06_24_07_20_11,day,NA,0.9509755969047546,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-10-02 07-23-09 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2021_10_02_07_23_09_Rabbit_0.JPG,Rabbit,0.8701043128967285,"[[364.8521423339844, 883.6970825195312, 582.7271728515625, 1248.4110107421875]]",2021_10_02_07_23_09,day,NA,0.9495148658752441,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2024-08-19 17-28-42 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2024_08_19_17_28_42_Rabbit_0.JPG,Rabbit,0.9143398404121399,"[[1335.9324951171875, 847.0380859375, 1850.7894287109375, 1160.2744140625]]",2024_08_19_17_28_42,day,NA,0.887374758720398,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-08-14 06-29-43 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2022_08_14_06_29_43_Rabbit_0.JPG,Rabbit,0.9719325304031372,"[[939.1988525390625, 779.2592163085938, 1112.469970703125, 914.3097534179688]]",2022_08_14_06_29_43,day,NA,0.8926148414611816,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-09-08 06-27-02 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2021_09_08_06_27_02_Rabbit_0.JPG,Rabbit,0.5107131004333496,"[[1914.2767333984375, 897.3235473632812, 2047.4979248046875, 1128.5245361328125]]",2021_09_08_06_27_02,day,NA,0.927322268486023,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-12-01 05-15-16 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2022_12_01_05_15_16_Rabbit_0.JPG,Rabbit,0.9835382103919983,"[[426.03887939453125, 988.7833251953125, 759.9555053710938, 1230.8760986328125]]",2022_12_01_05_15_16,day,NA,0.8500266075134277,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-07-08 07-57-05 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_07_08_07_57_05_Rabbit_0.JPG,Rabbit,0.9867434501647949,"[[1745.9652099609375, 828.140625, 1944.65625, 1140.525390625]]",2021_07_08_07_57_05,day,NA,0.9474747776985168,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-12-15 06-13-35 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_12_15_06_13_35_Rabbit_0.JPG,Rabbit,0.9980148077011108,"[[561.2179565429688, 1057.3167724609375, 1196.022705078125, 1405.0078125]]",2021_12_15_06_13_35,day,NA,0.9466444253921509,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-02-09 05-30-25 M 1_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2023_02_09_05_30_25_NA_animal.JPG,none,animal,none,"[0.0, 0.6513, 0.1455, 0.3118]",2023_02_09_05_30_25,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-12-13 09-28-37 M 2_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2022_12_13_09_28_37_NA_animal.JPG,none,animal,none,"[0.0009, 0.4951, 0.4653, 0.4812]",2022_12_13_09_28_37,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2024-07-13 07-38-07 M 1_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2024_07_13_07_38_07_NA_animal.JPG,none,animal,none,"[0.4116, 0.5326, 0.1635, 0.1208]",2024_07_13_07_38_07,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2024-10-01 16-40-26 M 2_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2024_10_01_16_40_26_NA_animal.JPG,none,animal,none,"[0.0, 0.5562, 0.0532, 0.1256]",2024_10_01_16_40_26,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-08-17 16-35-56 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_08_17_16_35_56_Rabbit_0.JPG,Rabbit,0.9793549180030823,"[[97.08379364013672, 1033.5943603515625, 411.3143615722656, 1405.840087890625]]",2021_08_17_16_35_56,day,NA,0.9575929641723633,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2024-10-05 05-52-08 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2024_10_05_05_52_08_Rabbit_0.JPG,Rabbit,0.9899651408195496,"[[0.4678710997104645, 1111.6256103515625, 521.9149780273438, 1401.103759765625]]",2024_10_05_05_52_08,day,NA,0.8842025399208069,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-04-21 16-03-49 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2021_04_21_16_03_49_Rabbit_0.JPG,Rabbit,0.6725130081176758,"[[1409.095703125, 687.5372314453125, 1588.0472412109375, 854.98779296875]]",2021_04_21_16_03_49,day,NA,0.9287223815917969,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-08-18 07-30-24 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_08_18_07_30_24_Rabbit_0.JPG,Rabbit,0.9988018274307251,"[[1734.9898681640625, 1168.0086669921875, 2006.4241943359375, 1401.115234375]]",2021_08_18_07_30_24,day,NA,0.9500796794891357,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-12-16 05-34-03 M 3_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2022_12_16_05_34_03_NA_animal.JPG,none,animal,none,"[0.186, 0.5736, 0.0742, 0.0534]",2022_12_16_05_34_03,day,NA,none,NO
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-12-13 07-18-54 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2023_12_13_07_18_54_Rabbit_0.JPG,Rabbit,0.9840649962425232,"[[1796.5106201171875, 742.3311767578125, 1995.181640625, 948.1309814453125]]",2023_12_13_07_18_54,day,NA,0.927627444267273,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-03-07 06-39-59 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Kangaroo/NA_2022_03_07_06_39_59_Kangaroo_0.JPG,Kangaroo,0.8193017840385437,"[[1850.826416015625, 775.84375, 1942.8392333984375, 959.4904174804688]]",2022_03_07_06_39_59,day,NA,0.8690729737281799,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-12-13 08-09-58 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2022_12_13_08_09_58_Rabbit_0.JPG,Rabbit,0.6605308055877686,"[[1535.2344970703125, 931.6519775390625, 1920.1727294921875, 1405.5325927734375]]",2022_12_13_08_09_58,day,NA,0.9670063257217407,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-11-19 04-50-09 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_11_19_04_50_09_Rabbit_0.JPG,Rabbit,0.9930012226104736,"[[1196.1173095703125, 753.5838012695312, 1372.68603515625, 935.3759765625]]",2021_11_19_04_50_09,day,NA,0.9204739928245544,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-04-09 17-55-03 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_04_09_17_55_03_Rabbit_0.JPG,Rabbit,0.9933515191078186,"[[379.369873046875, 691.8840942382812, 597.0745849609375, 943.8262939453125]]",2021_04_09_17_55_03,day,NA,0.9021778106689453,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2021-12-12 06-29-20 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2021_12_12_06_29_20_Rabbit_0.JPG,Rabbit,0.9977607727050781,"[[878.5924072265625, 818.9453125, 1165.5670166015625, 1054.9754638671875]]",2021_12_12_06_29_20,day,NA,0.9579560160636902,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-10-28 05-45-01 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Kangaroo/NA_2023_10_28_05_45_01_Kangaroo_0.JPG,Kangaroo,0.7049278020858765,"[[49.55508041381836, 778.6201171875, 313.9432678222656, 1364.8828125]]",2023_10_28_05_45_01,day,NA,0.827965497970581,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-03-04 05-49-47 M 2_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2022_03_04_05_49_47_Rabbit_0.JPG,Rabbit,0.9057127237319946,"[[1884.6063232421875, 812.5277709960938, 2047.671142578125, 1080.2105712890625]]",2022_03_04_05_49_47,day,NA,0.8648592233657837,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-03-22 06-05-43 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2022_03_22_06_05_43_Rabbit_0.JPG,Rabbit,0.9918612241744995,"[[1174.0950927734375, 1034.5740966796875, 1511.9901123046875, 1362.36279296875]]",2022_03_22_06_05_43,day,NA,0.9592016935348511,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-11-10 06-01-21 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/low_confidence/Rabbit/NA_2023_11_10_06_01_21_Rabbit_0.JPG,Rabbit,0.8129290342330933,"[[1853.9176025390625, 835.2603759765625, 2048.0, 1164.7713623046875]]",2023_11_10_06_01_21,day,NA,0.9168679118156433,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2023-09-13 06-24-11 M 1_3.JPG,none,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/classification/day/Rabbit/NA_2023_09_13_06_24_11_Rabbit_0.JPG,Rabbit,0.9909365773200989,"[[716.22802734375, 863.2654418945312, 1298.2530517578125, 1403.2486572265625]]",2023_09_13_06_24_11,day,NA,0.968298614025116,YES
/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/Rabbit/2022-09-18 06-48-05 M 3_3.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/day_images/outputs/further_verification/annotated/2022_09_18_06_48_05_NA_animal.JPG,none,animal,none,"[0.0, 0.7541, 0.3969, 0.2222]",2022_09_18_06_48_05,day,NA,none,NO
